Model,Accuracy,Precision,Recall,F1,AUC-ROC
Random Forest,0.8591549295774648,0.831758034026465,0.3305785123966942,0.4731182795698925,0.8720591806943474
Gradient Boosting,0.8400402414486922,0.650137741046832,0.3546205860255447,0.45892075838599905,0.7888866160885513
Logistic Regression,0.8223627479160678,0.593320235756385,0.22689706987227648,0.3282608695652174,0.7501322177859593
SVM (Linear),0.8174762862891636,0.5555555555555556,0.22915101427498122,0.324468085106383,0.7474243067361841
KNN,0.8275366484622018,0.5937052932761088,0.31179564237415475,0.4088669950738916,0.7248260473244208
Decision Tree,0.8352974992814027,0.6074332171893148,0.39293764087152516,0.4771897810218978,0.6664350546635927
