Metric,Baseline,Tuned,Delta
Accuracy,0.8591549295774648,0.8479448117275079,-0.011210117849956847
Precision,0.831758034026465,0.7191011235955056,-0.11265691043095938
Recall,0.3305785123966942,0.33658903080390684,0.006010518407212617
F1,0.4731182795698925,0.458546571136131,-0.014571708433761488
AUC-ROC,0.8720591806943474,0.7994032207865452,-0.07265595990780216
